Material_Name,Sealing_Temperature_C,Sealing_Pressure_N_cm2,Sealing_Time_ms,Seal_Strength_N_15mm,Validation
Paper90+metOPP18 (Huhtamaki2),240.0,38.5,500.0,8.9,0.0
Paper90+metOPP18 (Huhtamaki2),240.0,38.5,750.0,10.0,1.0
Paper90+metOPP18 (Huhtamaki2),240.0,77.0,200.0,9.6,1.0
Paper90+metOPP18 (Huhtamaki2),240.0,77.0,750.0,8.5,0.0
Paper90+metOPP18 (Huhtamaki2),240.0,115.5,200.0,8.3,0.0
Paper90+metOPP18 (Huhtamaki2),240.0,115.5,750.0,8.9,1.0
Paper90+metOPP18 (Seda),120.0,38.5,200.0,5.7,0.0
Paper90+metOPP18 (Seda),120.0,38.5,750.0,8.1,0.0
Paper90+metOPP18 (Seda),120.0,77.0,500.0,8.0,1.0
Paper90+metOPP18 (Seda),120.0,115.5,200.0,7.2,0.0
Paper90+metOPP18 (Seda),120.0,115.5,750.0,6.599999999999999,1.0
Paper90+metOPP18 (Seda),168.0,38.5,750.0,7.8,0.0
Paper90+metOPP18 (Seda),168.0,77.0,200.0,7.099999999999999,0.0
Paper90+metOPP18 (Seda),192.0,115.5,500.0,5.900000000000001,0.0
Paper90+metOPP18 (Seda),240.0,38.5,200.0,8.599999999999998,0.0
Paper90+metOPP18 (Seda),240.0,38.5,500.0,10.3,0.0
Paper90+metOPP18 (Seda),240.0,38.5,750.0,10.6,0.0
Paper90+metOPP18 (Seda),240.0,77.0,200.0,7.3,1.0
Paper90+metOPP18 (Seda),240.0,77.0,750.0,10.4,0.0
Paper90+metOPP18 (Seda),240.0,115.5,200.0,9.6,0.0
Paper90+metOPP18 (Seda),240.0,115.5,750.0,9.200000000000001,1.0
