"Feature","Importance"
"Sealing_Temperature_C-2","5.49e-04"
"Sealing_Pressure_N_cm2-2","4.61e-04"
"Time_Pr","3.56e-05"
"Time_Temp","2.46e-05"
"Sealing_Time_ms-3","-1.34e-09"
"Sealing_Temperature_C-3","-1.93e-06"
"Sealing_Time_ms-2","-1.97e-06"
"Sealing_Pressure_N_cm2-3","-3.78e-06"
"Temp_Pr","-9.15e-05"
